
2025-05-18 19:06:33;1b410dd6-37ba-4128-9f24-c3e11ffbf877;408;;100013311;26.2167;302.307;1000-TKC;WEBRTC;WINDOWS;EDGE;DESKTOP;Fortnite®;Low;NPA-TKC-ESB-01;Success;Normal session
2025-05-18 15:43:44;952bbc0a-f57c-4439-bf9b-50dda939e95b;408;;102434011;47.45;0.0;2005-TKC;NVIDIA-CLASSIC;WINDOWS;;DESKTOP;Tell Me Why - Xbox app;High;NPA-TKC-IST-01;Success;Normal session
2025-05-18 13:47:53;ff3710b9-7df6-4433-97d4-d904f9397151;408;;102214311;1.3667;0.0;2001-TKC;NVIDIA-CLASSIC;WINDOWS;;DESKTOP;Asphalt Legends Unite;High;NPA-TKC-ESB-01;Success;Normal session
2025-05-18 17:24:47;29f89a30-6fb1-4a68-84d0-031724840a02;408;;100031911;169.3;0.0;2000-TKC;NVIDIA-CLASSIC;MACOS;;DESKTOP;7 Days to Die;High;NPA-TKC-IST-01;Success;Normal session
2025-05-18 17:13:35;0a34af6c-5f87-4bf9-b948-2c3d661a2ad1;408;;102007911;29.4667;0.0;2000-TKC;NVIDIA-CLASSIC;WINDOWS;;DESKTOP;Apex Legends™;High;NPA-TKC-IST-01;Success;Normal session
2025-05-18 12:28:19;7214b5a7-9d58-45d2-ae95-3ee9cfe1a74d;408;;103201183;42.3667;0.0;2004-TKC;NVIDIA-CLASSIC;ANDROID;CHROME;PHONE;Farming Simulator 25;High;NPA-TKC-IST-01;Failure;Normal session
2025-05-18 05:42:30;b5da4fe8-c3fb-42cd-a606-5e1f5a3b9bc0;408;;101958311;26.0667;303.099;1000-TKC;NVIDIA-CLASSIC;WINDOWS;;DESKTOP;Battlefield™ V;Low;NPA-TKC-IST-01;Success;Normal session
2025-05-18 22:15:13;33003f76-6ef3-47da-ae65-a8ca1566a163;408;;100282011;30.4;303.243;1000-TKC;NVIDIA-CLASSIC;WINDOWS;;DESKTOP;Dead Island 2;Low;NPA-TKC-ESB-01;Success;Normal session
2025-05-18 17:47:52;173985bc-f36c-4ad3-b8fe-7233d5f625f9;408;;100821711;201.6;0.0;2000-TKC;WEBRTC;WINDOWS;CHROME;DESKTOP;Albion Online;High;NPA-TKC-IST-01;Success;Normal session
2025-05-19 01:39:09;2e029c6b-b0c0-48ac-87b5-07bb9a93536e;408;;7315111;65.6333;0.0;2004-TKC;NVIDIA-CLASSIC;WINDOWS;;DESKTOP;Counter-Strike 2;High;NPA-TKC-IST-01;Success;Normal session
